!sil 1.0	sil
--can-sego/canseco- 1.0	s eh g ow
aroun-d- 1.0	ax r aw n
around 1.0	ax r aw n d
aroused 1.0	ax r aw z d
arquett 1.0	aa r k eh t
arr-ested- 1.0	ax r
arrange 1.0	ax r ey n jh
arranged 1.0	ax r ey n jh d
arrangement 1.0	ax r ey n jh m ih n t
arrangements 1.0	ax r ey n jh m ih n t s
arranger 1.0	ax r ey n jh er
arranging 1.0	ax r ey n jh ih ng
array 1.0	ax r ey
arrest 1.0	ax r eh s t
arrested 1.0	ax r eh s t ih d
arresting 1.0	ax r eh s t ih ng
arrests 1.0	ax r eh s t s
arrival 1.0	ax r ay v ax l
arrivals 1.0	ax r ay v ax l z
arrive 1.0	ax r ay v
arrived 1.0	ax r ay v d
arrives 1.0	ax r ay v z
arriving 1.0	ax r ay v ih ng
arro-gant- 1.0	ae r ax
arrogance 1.0	ae r ax g ax n s
arrogant 1.0	ae r ax g ax n t
arrow 1.0	ae r ow
arrowheads 1.0	ae r ow hh eh d z
arrows 1.0	ae r ow z
arsenal 1.0	aa r s ih n ax l
arsenals 1.0	aa r s ih n ax l z
arsenic 1.0	aa r s ih n ih k
arsenio 1.0	aa r s eh n iy ow
arson 1.0	aa r s ih n
art 1.0	aa r t
art's 1.0	aa r t s
art-icle- 1.0	aa r t
art-istic- 1.0	aa r t
arteries 1.0	aa r t ax r iy z
arteriosclerosis 1.0	aa r t iy r iy ow s k l ax r ow s ih s
artery 1.0	aa r t ax r iy
arthritic 1.0	aa r th r ih t ih k
arthritis 1.0	aa r th r ay t ih s
arthur 1.0	aa r th er
arthur's 1.0	aa r th er z
arti-choke- 1.0	aa r t ih
artichoke 1.0	aa r t ih ch ow k
artichokes 1.0	aa r t ih ch ow k s
article 1.0	aa r t ih k ax l
articles 1.0	aa r t ih k ax l z
artif-icial- 1.0	aa r t ih f
artifact 1.0	aa r t ih f ae k t
artifacts 1.0	aa r t ih f ae k s
artificial 1.0	aa r t ih f ih sh ax l
artificially 1.0	aa r t ih f ih sh ax l iy
artist 1.0	aa r t ih s t
artistic 1.0	aa r t ih s t ih k
artists 1.0	aa r t ih s t s
arts 1.0	aa r t s
artsy 1.0	aa r t s iy
artsy-craftsy 1.0	aa r t s iy k r ae f t s iy
artwork 1.0	aa r t w er k
aruba 1.0	ax r uw b ax
as 1.0	ae z
as-k- 1.0	ae s
as-pect- 1.0	ae s
asbestos 1.0	ae s b eh s t ih s
ascended 1.0	ax s eh n d ih d
ascertain 1.0	ae s er t ey n
asceticism 1.0	ax s eh t ih s ih z ax m
ascribe 1.0	ax s k r ay b
ash 1.0	ae sh
ashamed 1.0	ax sh ey m d
ashes 1.0	ae sh ih z
asheville 1.0	ae sh v ih l
ashley 1.0	ae sh l iy
ashley'll 1.0	ae sh l iy ax l
ashtray 1.0	ae sh t r ey
ashville 1.0	ae sh v ih l
asi-de- 1.0	ax s ay
asia 1.0	ey zh ax
asian 1.0	ey zh ih n
asians 1.0	ey zh ih n s
asics 1.0	ey sh ih k s
aside 1.0	ax s ay d
asides 1.0	ax s ay d z
asimov 1.0	ae z ih m ao v
asimov's 1.0	ae z ih m ao v z
asinine 1.0	ae s ih n ay n
ask 1.0	ae s k
ask-ing- 1.0	ae s k
asked 1.0	ae s k t
asked 1.0	ae s t
asking 1.0	ae s k ih ng
asks 1.0	ae s k s
asleep 1.0	ax s l iy p
asparagus 1.0	ax s p ae r ax g ax s
aspect 1.0	ae s p eh k t
aspects 1.0	ae s p eh k s
aspen 1.0	ae s p ax n
asphalt 1.0	ae s f ao l t
asphyxiate 1.0	ae s f ih k s iy ey t
aspiration 1.0	ae s p ih r ey sh ih n
aspirations 1.0	ae s p ih r ey sh ih n z
aspirin 1.0	ae s p ax r ih n
ass 1.0	ae s
ass-et- 1.0	ae s
ass-istant- 1.0	ax s
ass-ume- 1.0	ax s
assailant 1.0	ax s ey l ax n t
assassinate 1.0	ax s ae s ih n ey t
assassinated 1.0	ax s ae s ih n ey t ih d
assassination 1.0	ax s ae s ih n ey sh ih n
assassinations 1.0	ax s ae s ih n ey sh ih n z
assault 1.0	ax s ao l t
assaulted 1.0	ax s ao l t ih d
assaulting 1.0	ax s ao l t ih ng
assaults 1.0	ax s ao l t s
assed 1.0	ae s t
assemble 1.0	ax s eh m b ax l
assembled 1.0	ax s eh m b ax l d
assembling 1.0	ax s eh m b l ih ng
assembly 1.0	ax s eh m b l iy
assemblyman 1.0	ax s eh m b l iy m ax n
assertive 1.0	ax s er t ih v
asses 1.0	ae s ih z
assess 1.0	ax s eh s
assessed 1.0	ax s eh s t
assesses 1.0	ax s eh s ih z
assessing 1.0	ax s eh s ih ng
assessment 1.0	ax s eh s m ih n t
asset 1.0	ae s eh t
assets 1.0	ae s eh t s
assholes 1.0	ae s hh ow l z
assign 1.0	ax s ay n
assigned 1.0	ax s ay n d
assigning 1.0	ax s ay n ih ng
assignment 1.0	ax s ay n m ih n t
assignments 1.0	ax s ay n m ih n t s
assimilated 1.0	ax s ih m ih l ey t ih d
assis-tant- 1.0	ax s ih s
assisi 1.0	ax s iy s iy
assist 1.0	ax s ih s t
assistance 1.0	ax s ih s t ih n s
assistant 1.0	ax s ih s t ih n t
assistants 1.0	ax s ih s t ih n t s
assistantship 1.0	ax s ih s t ih n t sh ih p
assisted 1.0	ax s ih s t ih d
assisting 1.0	ax s ih s t ih ng
assists 1.0	ax s ih s t s
associate 1.0	ax s ow s iy ey t
associated 1.0	ax s ow s iy ey t ax d
associates 1.0	ax s ow s iy ey t s
associating 1.0	ax s ow s iy ey t ih ng
association 1.0	ax s ow s iy ey sh ih n
associations 1.0	ax s ow s iy ey sh ih n z
assorted 1.0	ax s ow r t ih d
assortment 1.0	ax s ow r t m ih n t
assume 1.0	ax s uw m
assumed 1.0	ax s uw m d
assumes 1.0	ax s uw m z
assuming 1.0	ax s uw m ih ng
assump-tion- 1.0	ax s ah m p
assumption 1.0	ax s ah m p sh ih n
assumptions 1.0	ax s ah m p sh ih n z
assure 1.0	ax sh uh r
assured 1.0	ax sh uh r d
assuredly 1.0	ax sh uh r ih d l iy
assures 1.0	ax sh uh r z
assuring 1.0	ax sh uh r ih ng
astaire 1.0	ax s t ey r
asthma 1.0	ae z m ax
asthmatic 1.0	ae z m ae t ih k
astonia 1.0	ax s t ow n iy ax
astonished 1.0	ax s t aa n ih sh t
astonishes 1.0	ax s t aa n ih sh ih z
astonishing 1.0	ax s t aa n ih sh ih ng
astound 1.0	ax s t aw n d
astounded 1.0	ax s t aw n d ih d
astounding 1.0	ax s t aw n d ih ng
astounds 1.0	ax s t aw n d z
astray 1.0	ax s t r ey
astro 1.0	ae s t r ow
astrodome 1.0	ae s t r ax d ow m
astronaut 1.0	ae s t r ax n ao t
astronauts 1.0	ae s t r ax n ao t s
astronomers 1.0	ax s t r aa n ax m er z
astronomical 1.0	ae s t r ax n aa m ih k ax l
astronomy 1.0	ax s t r aa n ax m iy
astros 1.0	ae s t r ow z
astute 1.0	ax s t uw t
asylum 1.0	ax s ay l ax m
at 1.0	ae t
at&t 1.0	ey t iy ae n d t iy
at&t's 1.0	ey t iy ae n d t iy z
at-lanta- 1.0	ae t
at-mosphere- 1.0	ae t
atari 1.0	ax t aa r iy
atchafalaya 1.0	ae ch ax f ax l ay ax
atchafalaya's 1.0	ae ch ax f ax l ay ax z
ate 1.0	ey t
ath-letes- 1.0	ae th
ath-letes- 1.0	ae th l iy t s
ath-letics- 1.0	ae th
athlete 1.0	ae th l iy t
athletes 1.0	ae th l iy t s
athletic 1.0	ae th l eh t ih k
athletics 1.0	ae th l eh t ih k s
atlanta 1.0	ae t l ae n t ax
atlanta's 1.0	ae t l ae n t ax z
atlantic 1.0	ae t l ae n t ih k
atmosphere 1.0	ae t m ax s f iy r
atmosphere's 1.0	ae t m ax s f iy r z
atmospheres 1.0	ae t m ax s f iy r z
atmospherewise 1.0	ae t m ax s f iy r w ay z
atmospheric 1.0	ae t m ax s f iy r ih k
atomic 1.0	ax t aa m ih k
atone 1.0	ax t ow n
atrocious 1.0	ax t r ow sh ih s
atrocities 1.0	ax t r aa s ih t iy z
atrocity 1.0	ax t r aa s ih t iy
att-ack- 1.0	ax t
att-ention- 1.0	ax t
att-itude- 1.0	ae t
att-leboro- 1.0	ae t
att-racts- 1.0	ax t
attach 1.0	ax t ae ch
attache 1.0	ae t ae sh ey
attached 1.0	ax t ae ch t
attaches 1.0	ae t ax sh ey z
attaching 1.0	ax t ae ch ih ng
attachment 1.0	ax t ae ch m ih n t
attachments 1.0	ax t ae ch m ih n t s
attack 1.0	ax t ae k
attacked 1.0	ax t ae k t
attacking 1.0	ax t ae k ih ng
attacks 1.0	ax t ae k s
attain 1.0	ax t ey n
attained 1.0	ax t ey n d
attaining 1.0	ax t ey n ih ng
attempt 1.0	ax t eh m p t
attempted 1.0	ax t eh m p t ih d
attempting 1.0	ax t eh m p t ih ng
attempts 1.0	ax t eh m p t s
attenborough 1.0	ae t en b er r ow
attend 1.0	ax t eh n d
attendance 1.0	ax t eh n d ih n s
attendant 1.0	ax t eh n d ih n t
attended 1.0	ax t eh n d ih d
attending 1.0	ax t eh n d ih ng
attends 1.0	ax t eh n d z
attention 1.0	ax t eh n sh ih n
attention's 1.0	ax t eh n sh ih n z
attentions 1.0	ax t eh n sh ih n z
attentive 1.0	ax t eh n t ih v
attest 1.0	ax t eh s t
attic 1.0	ae t ih k
attica 1.0	ae t ih k ax
attire 1.0	ax t ay r
attitu-des- 1.0	ae t ih t uw
attitude 1.0	ae t ih t uw d
attitude's 1.0	ae t ih t uw d z
attitudes 1.0	ae t ih t uw d z
attitudes'll 1.0	ae t ih t uw d z ax l
attleboro 1.0	ae t el b er r ow
attorney 1.0	ax t er n iy
attorney 1.0	ih t er n iy
attorney's 1.0	ax t er n iy z
attorneys 1.0	ax t er n iy z
attrac-t- 1.0	ax t r ae k
attrac-tion- 1.0	ax t r ae k
attract 1.0	ax t r ae k t
attracted 1.0	ax t r ae k t ih d
attraction 1.0	ax t r ae k sh ih n
attractions 1.0	ax t r ae k sh ih n z
attractive 1.0	ax t r ae k t ih v
attractiveness 1.0	ax t r ae k t ih v n ih s
attracts 1.0	ax t r ae k t s
attribute 1.0	ae t r ax b y uw t
attributed 1.0	ax t r ih b y ax t ih d
attributes 1.0	ae t r ih b y uw t s
attrition 1.0	ax t r ih sh ih n
attuned 1.0	ax t uw n d
au 1.0	ow
au-gust- 1.0	ao g
au-gustine- 1.0	ao g
au-stin- 1.0	ao
au-thority- 1.0	ao
au-thors- 1.0	ao
au-tomated- 1.0	ao
au-tomatic- 1.0	ao
aubrey 1.0	ao b r iy
auburn 1.0	ao b er n
auction 1.0	ao k sh ih n
auctioned 1.0	ao k ch ih n d
auctioning 1.0	ao k ch ih n ih ng
auctions 1.0	ao k ch ih n z
audelia 1.0	ao d eh l iy ax
audi 1.0	aw d iy
audi's 1.0	aw d iy z
audi-ence- 1.0	ao d iy
audible 1.0	ao d ax b ax l
audience 1.0	ao d iy ih n s
audio 1.0	ao d iy ow
audiology 1.0	ao d iy aa l ax jh iy
audis 1.0	aw d iy z
audit 1.0	ao d ih t
audited 1.0	ao d ih t ih d
auditing 1.0	ao d ih t ih ng
audition 1.0	ao d ih sh ih n
auditions 1.0	ao d ih sh ih n z
auditor 1.0	ao d ih t er
auditorium 1.0	ao d ih t ow r iy ax m
auditors 1.0	ao d ih t er z
auditory 1.0	ao d ih t ow r iy
audits 1.0	ao d ih t s
audrey 1.0	ao d r iy
auel 1.0	aw l
augmon 1.0	ao g m ax n
augmon's 1.0	ao g m ax n z
august 1.0	ao g ah s t
augusta 1.0	ao g ah s t ax
augustine 1.0	ao g ah s t ih n
aunt 1.0	ae n t
aunt's 1.0	ae n t s
aunts 1.0	ae n t s
auspices 1.0	ao s p ih s ih z
austen 1.0	ao s t ih n
austin 1.0	ao s t ih n
austin's 1.0	ao s t ih n z
australia 1.0	ao s t r ey l y ax
australian 1.0	ao s t r ey l y ih n
australians 1.0	ao s t r ey l y ih n z
austria 1.0	ao s t r iy ax
austrian 1.0	ao s t r iy ih n
aut-omotive- 1.0	ao t
authentic 1.0	ao th eh n t ih k
authenticity 1.0	ao th eh n t ih s ih t iy
author 1.0	ao th er
author's 1.0	ao th er z
authoritarian 1.0	ao th ow r ih t ey r iy ih n
authoritative 1.0	ao th ow r ih t ey t ih v
authorities 1.0	ao th ow r ih t iy z
authority 1.0	ao th ow r ih t iy
authorization 1.0	ao th ax r ih z ey sh ih n
authorize 1.0	ao th ax r ay z
authorized 1.0	ao th ax r ay z d
authors 1.0	ao th er z
autistic 1.0	ao t ih s t ih k
auto 1.0	ao t ow
auto-matic- 1.0	ao t ax
autobahn 1.0	ao t ow b aa n
autobiographies 1.0	ao t ow b ay aa g r ax f iy z
autobiography 1.0	ao t ow b ay aa g r ax f iy
autocad 1.0	ao t ow k ae d
autocrat 1.0	ao t ax k r ae t
autograph 1.0	ao t ax g r ae f
autographs 1.0	ao t ax g r ae f s
automa-tic- 1.0	ao t ax m ae
automa-tically- 1.0	ao t ax m ae
automakers 1.0	ao t ow m ey k er z
automat-ically- 1.0	ao t ax m ae t
automated 1.0	ao t ax m ey t ih d
automatic 1.0	ao t ax m ae t ih k
automatically 1.0	ao t ax m ae t ih k l iy
automatics 1.0	ao t ax m ae t ih k s
automation 1.0	ao t ax m ey sh ih n
autometer 1.0	ao t ow m iy t er
automo-bile- 1.0	ao t ax m ow
automobile 1.0	ao t ax m ax b iy l
automobiles 1.0	ao t ax m ax b iy l z
automotive 1.0	ao t ax m ow t ih v
automotives 1.0	ao t ax m ow t ih v z
autonomists 1.0	ao t aa n ax m ih s t s
autonomy 1.0	ao t aa n ax m iy
autopilot 1.0	ao t ow p ay l ax t
autopilot 1.0	ao t ow p ay l ih t
autry 1.0	ao t r iy
autumn 1.0	ao t ax m
auxiliary 1.0	ao g z ih l ax r iy
av-oided- 1.0	ax v
avail-able- 1.0	ax v ey l
availability 1.0	ax v ey l ax b ih l ih t iy
available 1.0	ax v ey l ax b ax l
avalanche 1.0	ae v ax l ae n ch
avalon 1.0	ae v ax l aa n
avant-garde 1.0	ax v aa n t g aa r d
avenue 1.0	ae v ax n uw
avenues 1.0	ae v ax n uw z
average 1.0	ae v r ih jh
averaged 1.0	ae v r ih jh d
averages 1.0	ae v r ih jh ih z
averaging 1.0	ae v r ih jh ih ng
aversion 1.0	ax v er zh ih n
avery 1.0	ae v ax r iy
avia 1.0	ax v iy ax
aviaries 1.0	ey v iy eh r iy z
aviary 1.0	ey v iy eh r iy
aviation 1.0	ey v iy ey sh ih n
aviators 1.0	ey v iy ey t er z
avid 1.0	ae v ih d
avionics 1.0	ey v iy aa n ih k s
avis 1.0	ey v ih s
avocado 1.0	aa v ax k aa d ow
avocados 1.0	aa v ax k aa d ow z
avocation 1.0	ae v ax k ey sh ih n
avoid 1.0	ax v oy d
avoidable 1.0	ax v oy d ax b ax l
avoided 1.0	ax v oy d ih d
avoiding 1.0	ax v oy d ih ng
avoids 1.0	ax v oy d z
avon 1.0	ae v aa n
aw-arding- 1.0	ax w
aw-ay- 1.0	ax w
aw-ful- 1.0	ao
awa-re- 1.0	ax w ey
awake 1.0	ax w ey k
awakened 1.0	ax w ey k ax n d
awakening 1.0	ax w ey k ax n ih ng
awakenings 1.0	ax w ey k ax n ih ng z
award 1.0	ax w ow r d
awarded 1.0	ax w ow r d ih d
awarding 1.0	ax w ow r d ih ng
awards 1.0	ax w ow r d z
aware 1.0	ax w ey r
awareness 1.0	ax w ey r n ih s
away 1.0	ax w ey
awe 1.0	ao
awe-ful- 1.0	ax w
awesome 1.0	ao s ax m
awf-ul- 1.0	ao f
awful 1.0	ao f ax l
awfully 1.0	ao f ax l iy
awfully 1.0	ao f l iy
awfulness 1.0	ao f ax l n ih s
awhi-le- 1.0	ax w ay
awhile 1.0	ax w ay l
awkward 1.0	ao k w er d
awol 1.0	ey w ao l
awry 1.0	ax r ay
axe 1.0	ae k s
axes 1.0	ae k s ih z
axiom 1.0	ae k s iy ax m
axle 1.0	ae k s ax l
ayatollah 1.0	ay ax t aa l ax
aye 1.0	ay
azalea 1.0	ax z ey l y ax
azaleas 1.0	ax z ey l y ax z
azerbaijanis 1.0	ae z er b ay jh aa n iy z
b-aby- 1.0	b
b-acillus- 1.0	b
b-ack- 1.0	b
b-ad- 1.0	b
b-all- 1.0	b
b-alloon- 1.0	b
b-alls- 1.0	b
b-ank- 1.0	b
b-ased- 1.0	b
b-aseline- 1.0	b
b-asically- 1.0	b
b-ay- 1.0	b
b-e- 1.0	b
b-eat- 1.0	b
b-eautiful- 1.0	b
b-ecame- 1.0	b
b-ecause- 1.0	b
b-ecome- 1.0	b
b-ecoming- 1.0	b
b-een- 1.0	b
b-efore- 1.0	b
b-eige- 1.0	b
b-eing- 1.0	b
b-elieve- 1.0	b
b-elong- 1.0	b
b-entsen- 1.0	b
b-est- 1.0	b
b-et- 1.0	b
b-etter- 1.0	b
b-ig- 1.0	b
b-ike- 1.0	b
b-ill- 1.0	b
b-iography- 1.0	b
b-it- 1.0	b
b-lack- 1.0	b
b-lame- 1.0	b
b-lessed- 1.0	b
b-lock- 1.0	b
b-lue- 1.0	b
b-oard- 1.0	b
b-ook- 1.0	b
b-ooks- 1.0	b
b-orn- 1.0	b
b-othersome- 1.0	b
b-ought- 1.0	b
b-oy's- 1.0	b
b-oy- 1.0	b
b-oys- 1.0	b
b-reak- 1.0	b
b-roken- 1.0	b
b-rother- 1.0	b
b-rush- 1.0	b
b-ucks- 1.0	b
b-udget- 1.0	b
b-ug- 1.0	b
b-ugs- 1.0	b
b-uild- 1.0	b
b-uilders- 1.0	b
b-ulls- 1.0	b
b-unch- 1.0	b
b-urning- 1.0	b
b-us- 1.0	b
b-ut- 1.0	b
b-uy- 1.0	b
b-uying- 1.0	b
b-y- 1.0	b
b-ye- 1.0	b
b. 1.0	b iy
b.'s 1.0	b iy z
b._b. 1.0	b iy b iy
b._b._c. 1.0	b iy b iy s iy
b._b._c.'s 1.0	b iy b iy s iy z
b._b._s. 1.0	b iy b iy eh s
b._b.s 1.0	b iy b iy s
b._e._o._g. 1.0	b iy iy ow jh iy
b._g.'s 1.0	b iy jh iy z
b._l._y. 1.0	b iy eh l w ay
b._m._w. 1.0	b iy eh m d ah b ax l y uw
b._m._w.'s 1.0	b iy eh m d ah b ax l y uw z
b._m._w.s 1.0	b iy eh m d ah b ax l y uw z
b._p. 1.0	b iy p iy
b._s. 1.0	b iy eh s
b._s._n.s 1.0	b iy eh s eh n s
b._u. 1.0	b iy y uw
b._v._d. 1.0	b iy v iy d iy
b._v._i. 1.0	b iy v iy ay
b._v._r. 1.0	b iy v iy aa r
b._w._i. 1.0	b iy d ah b ax l y uw ay
b._y._u. 1.0	b iy w ay y uw
b2 1.0	b iy t uw
b6 1.0	b iy s ih k s
ba-bies- 1.0	b ey
ba-by- 1.0	b ey
ba-ck- 1.0	b ae
ba-d- 1.0	b ae
ba-gs- 1.0	b ae
ba-lance- 1.0	b ae
ba-ll- 1.0	b ao
ba-nk- 1.0	b ae
ba-nks- 1.0	b ae
ba-rk- 1.0	b aa
ba-se- 1.0	b ey
ba-seball- 1.0	b ey
ba-sement- 1.0	b ey
ba-sic- 1.0	b ey
ba-sically- 1.0	b ey
ba-sis- 1.0	b ey
bab-ies- 1.0	b ey b
bab-ysitting- 1.0	b ey b
baba 1.0	b aa b ax
babble 1.0	b ae b ax l
babbly 1.0	b ae b l iy
babe 1.0	b ey b
babied 1.0	b ey b iy d
babies 1.0	b ey b iy z
baby 1.0	b ey b iy
baby's 1.0	b ey b iy z
baby-sitter 1.0	b ey b iy s ih t er
baby-sitter- 1.0	b ey b iy
babydoe 1.0	b ey b iy d ow
babysat 1.0	b ey b iy s ae t
babysit 1.0	b ey b iy s ih t
babysitter 1.0	b ey b iy s ih t er
babysitters 1.0	b ey b iy s ih t er z
babysitting 1.0	b ey b iy s ih t ih ng
babysittingwise 1.0	b ey b iy s ih t ih ng w ay z
baccalaureate 1.0	b ae k ax l ow r iy ih t
bach 1.0	b aa k
bach's 1.0	b aa k s
bachelor 1.0	b ae ch ax l er
bachelor's 1.0	b ae ch ax l er z
bachelors 1.0	b ae ch ax l er z
bachman 1.0	b aa k m ax n
bacillus 1.0	b ax s ih l ax s
back 1.0	b ae k
back-ache- 1.0	b ae k
back-fired- 1.0	b ae k
back-ground- 1.0	b ae k
backaches 1.0	b ae k ey k s
backbone 1.0	b ae k b ow n
backdraft 1.0	b ae k d r ae f t
backed 1.0	b ae k t
backers 1.0	b ae k er z
backfield 1.0	b ae k f iy l d
backfire 1.0	b ae k f ay r
backfired 1.0	b ae k f ay r d
backfires 1.0	b ae k f ay r z
backgammon 1.0	b ae k g ae m ax n
background 1.0	b ae k g r aw n d
background's 1.0	b ae k g r aw n d z
backgrounds 1.0	b ae k g r aw n d z
backing 1.0	b ae k ih ng
backings 1.0	b ae k ih ng z
backlash 1.0	b ae k l ae sh
backless 1.0	b ae k l ih s
backlog 1.0	b ae k l ao g
backlogged 1.0	b ae k l ao g d
backpack 1.0	b ae k p ae k
backpacked 1.0	b ae k p ae k t
backpacker 1.0	b ae k p ae k er
backpacking 1.0	b ae k p ae k ih ng
backpacks 1.0	b ae k p ae k s
backpedaling 1.0	b ae k p eh d ax l ih ng
backrest 1.0	b ae k r eh s t
backs 1.0	b ae k s
backsaw 1.0	b ae k s ao
backseat 1.0	b ae k s iy t
backseats 1.0	b ae k s iy t s
backside 1.0	b ae k s ay d
backslapping 1.0	b ae k s l ae p ih ng
backsliding 1.0	b ae k s l ay d ih ng
backswing 1.0	b ae k s w ih ng
backup 1.0	b ae k ah p
backward 1.0	b ae k w er d
backwards 1.0	b ae k w er d z
backwoods 1.0	b ae k w uh d z
backyard 1.0	b ae k y aa r d
backyard's 1.0	b ae k y aa r d z
backyards 1.0	b ae k y aa r d z
bacon 1.0	b ey k ax n
bacteria 1.0	b ae k t ih r iy ax
bacterial 1.0	b ae k t ih r iy ax l
bad 1.0	b ae d
badge 1.0	b ae jh
badger 1.0	b ae jh er
badgering 1.0	b ae jh ax r ih ng
badges 1.0	b ae jh ih z
badly 1.0	b ae d l iy
badminton 1.0	b ae d m ih n t ax n
badness 1.0	b ae d n ih s
baffled 1.0	b ae f ax l d
bag 1.0	b ae g
bagdad 1.0	b ae g d ae d
bagels 1.0	b ey g ax l z
bagga-ge- 1.0	b ae g ih
baggage 1.0	b ae g ih jh
bagged 1.0	b ae g d
baggers 1.0	b ae g er z
bagging 1.0	b ae g ih ng
baggio 1.0	b ae g iy ow
baggy 1.0	b ae g iy
baghdad 1.0	b ae g d ae d
bagpipe 1.0	b ae g p ay p
bagpipes 1.0	b ae g p ay p s
bags 1.0	b ae g z
bah 1.0	b aa
baha-mas- 1.0	b ax hh aa
bahama 1.0	b ax hh aa m ax
bahamas 1.0	b ax hh aa m ax z
bahia 1.0	b ax hh iy ax
bahr 1.0	b aa r
bail 1.0	b ey l
bailey 1.0	b ey l iy
bailiff 1.0	b ey l ih f
bailiffs 1.0	b ey l ih f s
bailing 1.0	b ey l ih ng
bailiwick 1.0	b ey l ih w ih k
bait 1.0	b ey t
baited 1.0	b ey t ih d
baiting 1.0	b ey t ih ng
baits 1.0	b ey t s
baja 1.0	b aa hh aa
bajaing 1.0	b aa hh aa ih ng
bak-ing- 1.0	b ey k
bake 1.0	b ey k
baked 1.0	b ey k t
baker 1.0	b ey k er
bakeries 1.0	b ey k ax r iy z
bakers 1.0	b ey k er z
bakersfield 1.0	b ey k er z f iy l d
bakery 1.0	b ey k ax r iy
bakes 1.0	b ey k s
baking 1.0	b ey k ih ng
bakker 1.0	b ey k er
baksheesh 1.0	b ax k sh iy sh
bal-timore- 1.0	b ao l
balance 1.0	b ae l ax n s
balanced 1.0	b ae l ax n s t
balances 1.0	b ae l ax n s ih z
balancing 1.0	b ae l ax n s ih ng
balcony 1.0	b ae l k ax n iy
bald 1.0	b ao l d
baldwin 1.0	b ao l d w ih n
bale 1.0	b ey l
baler 1.0	b ey l er
baling 1.0	b ey l ih ng
balk 1.0	b ao k
ball 1.0	b ao l
ball'll 1.0	b ao l ax l
ball-oon- 1.0	b ax l
ballad 1.0	b ae l ax d
ballady 1.0	b ae l ax d iy
balled 1.0	b ao l d
ballerina 1.0	b ae l ax r iy n ax
ballet 1.0	b ae l ey
ballets 1.0	b ae l ey z
ballgame 1.0	b ao l g ey m
ballistic 1.0	b ax l ih s t ih k
balloon 1.0	b ax l uw n
ballooned 1.0	b ax l uw n d
ballooning 1.0	b ax l uw n ih ng
balloons 1.0	b ax l uw n z
ballot 1.0	b ae l ax t
balloting 1.0	b ae l ax t ih ng
ballots 1.0	b ae l ax t s
ballpark 1.0	b ao l p aa r k
ballplayers 1.0	b ao l p l ey er z
balls 1.0	b ao l z
ballum 1.0	b ae l ax m
baloney 1.0	b ax l ow n iy
balsamic 1.0	b ao l s ae m ih k
balti-more- 1.0	b ao l t ih
baltic 1.0	b ao l t ih k
baltics 1.0	b ao l t ih k s
baltimore 1.0	b ao l t ih m ow r
baltimore'll 1.0	b ao l t ih m ow r ax l
baltimore's 1.0	b ao l t ih m ow r z
bam 1.0	b ae m
bam-boo- 1.0	b ae m
bamba 1.0	b aa m b ax
bambi 1.0	b ae m b iy
bamboo 1.0	b ae m b uw
bamburger's 1.0	b ae m b er g er z
ban 1.0	b ae n
banana 1.0	b ax n ae n ax
bananas 1.0	b ax n ae n ax z
band 1.0	b ae n d
band's 1.0	b ae n d z
band-aid 1.0	b ae n d ey d
bandage 1.0	b ae n d ih jh
banded 1.0	b ae n d ih d
bandit 1.0	b ae n d ih t
bands 1.0	b ae n d z
bandwagon 1.0	b ae n d w ae g ax n
bandwidth 1.0	b ae n d w ih d th
bane 1.0	b ey n
banff 1.0	b ae n f
bang 1.0	b ae ng
bang-up 1.0	b ae ng ah p
banged 1.0	b ae ng d
bangers 1.0	b ae ng er z
banging 1.0	b ae ng ih ng
bangla-desh- 1.0	b ae ng g l ax
bangladesh 1.0	b ae ng g l ax d eh sh
bangs 1.0	b ae ng z
banish 1.0	b ae n ih sh
banished 1.0	b ae n ih sh t
banjo 1.0	b ae n jh ow
bank 1.0	b ae ng k
bank's 1.0	b ae ng k s
bank-ruptcy- 1.0	b ae ng k
banked 1.0	b ae ng k t
banker 1.0	b ae ng k er
bankers 1.0	b ae ng k er z
banking 1.0	b ae ng k ih ng
bankrupt 1.0	b ae ng k r ah p t
bankruptcy 1.0	b ae ng k r ah p s iy
bankrupted 1.0	b ae ng k r ah p t ih d
bankrupting 1.0	b ae ng k r ah p t ih ng
banks 1.0	b ae ng k s
bann-ed- 1.0	b ae n
banned 1.0	b ae n d
banner 1.0	b ae n er
banners 1.0	b ae n er z
banning 1.0	b ae n ih ng
banquet 1.0	b ae ng k w ih t
banquets 1.0	b ae ng k w ih t s
bans 1.0	b ae n z
bantam 1.0	b ae n t ax m
bap 1.0	b ae p
baptism 1.0	b ae p t ih z ax m
baptisms 1.0	b ae p t ih z ax m z
baptist 1.0	b ae p t ih s t
baptists 1.0	b ae p t ih s t s
bar 1.0	b aa r
bar-gaining- 1.0	b aa r
bar-on- 1.0	b ae r
barb 1.0	b aa r b
barbados 1.0	b aa r b ey d ow s
barbar-ous- 1.0	b aa r b ax r
barbara 1.0	b aa r b ax r ax
barbaric 1.0	b aa r b ae r ih k
barbarics 1.0	b aa r b ae r ih k s
barbe-cue- 1.0	b aa r b ax
barbe-cued- 1.0	b aa r b ax
barbecue 1.0	b aa r b ax k y uw
barbecued 1.0	b aa r b ax k y uw d
barbecueing 1.0	b aa r b ax k y uw ih ng
barbecues 1.0	b aa r b ax k y uw z
barbed 1.0	b aa r b d
