!SIL	SIL_S
--CAN-SEGO/CANSECO-	S_B EH_I G_I OW_E
CHARITABLE	CH_B AE_I R_I IH_I T_I AX_I B_I AX_I L_E
CHARITIES	CH_B AE_I R_I IH_I T_I IY_I Z_E
CHARITY	CH_B AE_I R_I IH_I T_I IY_E
CHARLENE	SH_B AA_I R_I L_I IY_I N_E
CHARLENE'S	SH_B AA_I R_I L_I IY_I N_I Z_E
CHARLES	CH_B AA_I R_I L_I Z_E
CHARLESTON	CH_B AA_I R_I L_I S_I T_I AX_I N_E
CHARLEY	CH_B AA_I R_I L_I IY_E #1
CHARLIE	CH_B AA_I R_I L_I IY_E #2
CHARLOTTE	SH_B AA_I R_I L_I AX_I T_E
CHARLOTTE'S	SH_B AA_I R_I L_I AX_I T_I S_E
CHARLOTTESVILLE	SH_B AA_I R_I L_I AX_I T_I S_I V_I IH_I L_E
CHARM	CH_B AA_I R_I M_E
CHARMED	CH_B AA_I R_I M_I D_E
CHARMING	CH_B AA_I R_I M_I IH_I NG_E
CHARMS	CH_B AA_I R_I M_I Z_E
CHART	CH_B AA_I R_I T_E
CHARTER	CH_B AA_I R_I T_I ER_E
CHARTERED	CH_B AA_I R_I T_I ER_I D_E
CHARTS	CH_B AA_I R_I T_I S_E
CHASE	CH_B EY_I S_E #2
CHASE'S	CH_B EY_I S_I IH_I Z_E #1
CHASED	CH_B EY_I S_I T_E
CHASER	CH_B EY_I S_I ER_E
CHASES	CH_B EY_I S_I IH_I Z_E #2
CHASING	CH_B EY_I S_I IH_I NG_E
CHASSIS	CH_B AE_I S_I IY_E
CHASTA	CH_B AE_I S_I T_I AX_E
CHASTA'S	CH_B AE_I S_I T_I AX_I Z_E
CHASTISING	CH_B AE_I S_I T_I AY_I Z_I IH_I NG_E
CHAT	CH_B AE_I T_E
CHATELIER'S	CH_B AE_I T_I L_I Y_I ER_I Z_E
CHATTANOOGA	CH_B AE_I T_I AX_I N_I UW_I G_I AX_E
CHATTERJEE	CH_B AE_I T_I ER_I JH_I IY_E
CHATTING	CH_B AE_I T_I IH_I NG_E
CHAUCER	CH_B AO_I S_I ER_E
CHAUFFEUR	SH_B OW_I F_I ER_E
CHAUVINIST	SH_B OW_I V_I AX_I N_I IH_I S_I T_E
CHAUVINISTIC	SH_B OW_I V_I AX_I N_I IH_I S_I T_I IH_I K_E
CHE	CH_B EY_E #5
CHE-AP-	CH_B IY_E #1
CHE-CK-	CH_B EH_E #1
CHE-CKED-	CH_B EH_E #2
CHE-MICALS-	K_B EH_E #1
CHE-VY-	SH_B EH_E #1
CHEAP	CH_B IY_I P_E #2
CHEAPENING	CH_B IY_I P_I AX_I N_I IH_I NG_E
CHEAPER	CH_B IY_I P_I ER_E #2
CHEAPEST	CH_B IY_I P_I IH_I S_I T_E
CHEAPIES	CH_B IY_I P_I IY_I Z_E
CHEAPLY	CH_B IY_I P_I L_I IY_E
CHEAPNESS	CH_B IY_I P_I N_I IH_I S_E
CHEAPSKATE	CH_B IY_I P_I S_I K_I EY_I T_E
CHEAT	CH_B IY_I T_E
CHEATED	CH_B IY_I T_I IH_I D_E
CHEATERS	CH_B IY_I T_I ER_I Z_E
CHEATING	CH_B IY_I T_I IH_I NG_E
CHECK	CH_B EH_I K_E #2
CHECK-BOOK-	CH_B EH_I K_E #3
CHECKBOOK	CH_B EH_I K_I B_I UH_I K_E
CHECKBOOK'S	CH_B EH_I K_I B_I UH_I K_I S_E #1
CHECKBOOKS	CH_B EH_I K_I B_I UH_I K_I S_E #2
CHECKED	CH_B EH_I K_I T_E
CHECKER	CH_B EH_I K_I ER_E
CHECKERED	CH_B EH_I K_I ER_I D_E
CHECKERS	CH_B EH_I K_I ER_I Z_E
CHECKING	CH_B EH_I K_I IH_I NG_E #2
CHECKLESS	CH_B EH_I K_I L_I IH_I S_E
CHECKMATE	CH_B EH_I K_I M_I EY_I T_E
CHECKOFF	CH_B EH_I K_I AO_I F_E
CHECKS	CH_B EH_I K_I S_E #2
CHECKUP	CH_B EH_I K_I AH_I P_E
CHECKUPS	CH_B EH_I K_I AH_I P_I S_E
CHEDDAR	CH_B EH_I D_I ER_E
CHEDDAR'S	CH_B EH_I D_I ER_I Z_E #1
CHEDDARS	CH_B EH_I D_I ER_I Z_E #2
CHEE-RS-	CH_B IY_E #2
CHEECH	CH_B IY_I CH_E
CHEEK	CH_B IY_I K_E
CHEEKS	CH_B IY_I K_I S_E
CHEER	CH_B IY_I R_E
CHEERED	CH_B IY_I R_I D_E
CHEERFUL	CH_B IY_I R_I F_I AX_I L_E
CHEERFULLY	CH_B IY_I R_I F_I AX_I L_I IY_E
CHEERING	CH_B IY_I R_I IH_I NG_E
CHEERLEADER	CH_B IY_I R_I L_I IY_I D_I ER_E
CHEERLEADERS	CH_B IY_I R_I L_I IY_I D_I ER_I Z_E
CHEERLEADING	CH_B IY_I R_I L_I IY_I D_I IH_I NG_E
CHEERS	CH_B IY_I R_I Z_E
CHEERY	CH_B IY_I R_I IY_E
CHEESE	CH_B IY_I Z_E
CHEESEBURGERS	CH_B IY_I Z_I B_I ER_I G_I ER_I Z_E
CHEESECAKE	CH_B IY_I Z_I K_I EY_I K_E
CHEESECAKES	CH_B IY_I Z_I K_I EY_I K_I S_E
CHEESES	CH_B IY_I Z_I IH_I Z_E
CHEF	SH_B EH_I F_E
CHEF'S	SH_B EH_I F_I S_E #1
CHEFALIA'S	CH_B AX_I F_I EY_I L_I IY_I AX_I Z_E
CHEFS	SH_B EH_I F_I S_E #2
CHEM	K_B EH_I M_E #1
CHEM-ICALS-	K_B EH_I M_E #2
CHEMICAL	K_B EH_I M_I IH_I K_I AX_I L_E #1
CHEMICAL-S-	K_B EH_I M_I IH_I K_I AX_I L_E #2
CHEMICALS	K_B EH_I M_I IH_I K_I AX_I L_I Z_E
CHEMICALWISE	K_B EH_I M_I IH_I K_I AX_I L_I W_I AY_I Z_E
CHEMIST	K_B EH_I M_I IH_I S_I T_E
CHEMISTRY	K_B EH_I M_I IH_I S_I T_I R_I IY_E
CHEMISTS	K_B EH_I M_I IH_I S_I T_I S_E
CHENEY	CH_B EY_I N_I IY_E
CHENEY'S	CH_B EY_I N_I IY_I Z_E
CHENGDU	CH_B EH_I NG_I D_I UW_E
CHER	SH_B EH_I R_E #1
CHERISH	CH_B EH_I R_I IH_I SH_E
CHERISHED	CH_B EH_I R_I IH_I SH_I T_E
CHERNOBYL	CH_B ER_I N_I OW_I B_I AX_I L_E
CHEROKEE	CH_B EH_I R_I AX_I K_I IY_E
CHEROKEES	CH_B EH_I R_I AX_I K_I IY_I Z_E
CHERR-IES-	CH_B EH_I R_E
CHERRIES	CH_B EH_I R_I IY_I Z_E
CHERRY	CH_B EH_I R_I IY_E
CHERYL	SH_B EH_I R_I AX_I L_E
CHESAPEAKE	CH_B EH_I S_I AX_I P_I IY_I K_E
CHESS	CH_B EH_I S_E
CHESSUM	CH_B EH_I S_I AX_I M_E
CHEST	CH_B EH_I S_I T_E
CHESTNUTS	CH_B EH_I S_I N_I AX_I T_I S_E
CHESTS	CH_B EH_I S_I T_I S_E
CHEV-ROLET-	SH_B EH_I V_E
CHEVELLE	SH_B AX_I V_I EH_I L_E
CHEVETTE	SH_B AX_I V_I EH_I T_E
CHEVIES	SH_B EH_I V_I IY_I Z_E #1
CHEVRO-LET-	SH_B EH_I V_I R_I AX_E
CHEVROLET	SH_B EH_I V_I R_I AX_I L_I EY_E
CHEVROLETS	SH_B EH_I V_I R_I AX_I L_I EY_I Z_E
CHEVRON	SH_B EH_I V_I R_I AA_I N_E
CHEVY	CH_B EH_I V_I IY_E
CHEVYS	SH_B EH_I V_I IY_I Z_E #2
CHEW	CH_B UW_E #1
CHEWED	CH_B UW_I D_E
CHEWING	CH_B UW_I IH_I NG_E
CHEWS	CH_B UW_I Z_E #1
CHEWY	CH_B UW_I IY_E
CHEZ	SH_B EY_E #1
CHI	CH_B IY_E #3
CHI'S	K_B AY_I Z_E
CHI-CAGO-	SH_B IH_E #1
CHI-CHI'S	CH_B IY_I CH_I IY_I Z_E
CHI-LD'S-	CH_B AY_E #1
CHI-LD-	CH_B AY_E #2
CHI-LDREN-	CH_B IH_E
CHI-NESE-	CH_B AY_E #3
CHIBBLES	CH_B IH_I B_I AX_I L_I Z_E
CHIC	SH_B IY_I K_E
CHICA-GO-	SH_B IH_I K_I AA_E
CHICAGO	SH_B IH_I K_I AA_I G_I OW_E #2
CHICAGO'S	SH_B IH_I K_I AA_I G_I OW_I Z_E
CHICHI	CH_B IY_I CH_I IY_E
CHICK	CH_B IH_I K_E #1
CHICK-EN-	CH_B IH_I K_E #2
CHICKEN	CH_B IH_I K_I IH_I N_E
CHICKEN'S	CH_B IH_I K_I IH_I N_I Z_E #1
CHICKENED	CH_B IH_I K_I IH_I N_I D_E
CHICKENS	CH_B IH_I K_I IH_I N_I Z_E #2
CHICO	CH_B IY_I K_I OW_E #1
CHICO'S	CH_B IY_I K_I OW_I Z_E
CHICO-'S-	CH_B IY_I K_I OW_E #2
CHICOPEE	CH_B IH_I K_I AX_I P_I IY_E
CHIDE	CH_B AY_I D_E
CHIEF	CH_B IY_I F_E
CHIEFS	CH_B IY_I F_I S_E
CHIHUAHUA	CH_B IH_I W_I AA_I W_I AA_E
CHIHUAHUAS	CH_B IH_I W_I AA_I W_I AA_I Z_E
CHIL-D-	CH_B AY_I L_E
CHIL-DREN-	CH_B IH_I L_E #1
CHILD	CH_B AY_I L_I D_E #2
CHILD'S	CH_B AY_I L_I D_I Z_E
CHILD-REN-	CH_B IH_I L_I D_E
CHILDBEARING	CH_B AY_I L_I D_I B_I EY_I R_I IH_I NG_E
CHILDBIRTH	CH_B AY_I L_I D_I B_I ER_I TH_E
CHILDFARING	CH_B AY_I L_I D_I F_I EY_I R_I IH_I NG_E
CHILDHOOD	CH_B AY_I L_I D_I HH_I UH_I D_E
CHILDISH	CH_B AY_I L_I D_I IH_I SH_E
CHILDR-EN-	CH_B IY_I L_I D_I R_E
CHILDREN	CH_B IH_I L_I D_I R_I AX_I N_E #2
CHILDREN'LL	CH_B IH_I L_I D_I R_I AX_I N_I AX_I L_E
CHILDREN'S	CH_B IH_I L_I D_I R_I AX_I N_I Z_E #1
CHILDRENS	CH_B IH_I L_I D_I R_I AX_I N_I Z_E #2
CHILE	CH_B IH_I L_I EY_E
CHILI	CH_B IH_I L_I IY_E #1
CHILI'S	CH_B IH_I L_I IY_I Z_E
CHILL	CH_B IH_I L_E #2
CHILLIER	CH_B IH_I L_I IY_I ER_E
CHILLING	CH_B IH_I L_I IH_I NG_E
CHILLS	CH_B IH_I L_I Z_E
CHILLY	CH_B IH_I L_I IY_E #2
CHILTON'S	CH_B IH_I L_I T_I AX_I N_I Z_E
CHIMA	CH_B IY_I M_I AX_E
CHIME	CH_B AY_I M_E
CHIMNEY	CH_B IH_I M_I N_I IY_E
CHIN-A-	CH_B AY_I N_E
CHINA	CH_B AY_I N_I AX_E
CHINA'S	CH_B AY_I N_I AX_I Z_E
CHINATOWN	CH_B AY_I N_I AX_I T_I AW_I N_E
CHINCHILLA	CH_B IH_I N_I CH_I IH_I L_I AX_E
CHINCOTEAGUE	SH_B IH_I N_I K_I AX_I T_I IY_I G_E
CHINESE	CH_B AY_I N_I IY_I Z_E
CHINOOK	SH_B IH_I N_I UH_I K_E
CHINTZY	CH_B IH_I N_I T_I S_I IY_E
CHIP	CH_B IH_I P_E
CHIPPED	CH_B IH_I P_I T_E
CHIPPER	CH_B IH_I P_I ER_E
CHIPPING	CH_B IH_I P_I IH_I NG_E
CHIPS	CH_B IH_I P_I S_E
CHIROPRACTOR	K_B AY_I R_I AX_I P_I R_I AE_I K_I T_I ER_E
CHIRPING	CH_B ER_I P_I IH_I NG_E
CHISEL	CH_B IH_I Z_I AX_I L_E
CHISELS	CH_B IH_I Z_I AX_I L_I Z_E
CHITCHAT	CH_B IH_I T_I CH_I AE_I T_E
CHIVES	CH_B AY_I V_I Z_E
CHL-OROFLUOROCARBONS-	K_B L_E #1
CHL-OROPHYLL-	K_B L_E #2
CHLORINATED	K_B L_I OW_I R_I IH_I N_I EY_I T_I IH_I D_E
CHLORINATING	K_B L_I OW_I R_I IH_I N_I EY_I T_I IH_I NG_E
CHLORINATION	K_B L_I OW_I R_I IH_I N_I EY_I SH_I IH_I N_E
CHLORINE	K_B L_I OW_I R_I IY_I N_E
CHLORO-FLUOROCARBONS-	K_B L_I OW_I R_I OW_E
CHLOROF-LUOROCARBONS-	K_B L_I OW_I R_I OW_I F_E
CHLOROFLUO-ROCARBONS-	K_B L_I OW_I F_I L_I OW_E
CHLOROFLUOROCAR-BONS-	K_B L_I OW_I F_I L_I OW_I R_I OW_I K_I AA_I R_E
CHLOROFLUOROCARBONS	K_B L_I OW_I F_I L_I OW_I R_I OW_I K_I AA_I R_I B_I AX_I N_I Z_E
CHO-LESTEROL-	K_B AX_E #2
CHO-SE-	CH_B OW_E #1
CHOCK	CH_B AA_I K_E
CHOCKED	CH_B AA_I K_I T_E
CHOCOHOLIC	CH_B AO_I K_I AX_I HH_I AO_I L_I IH_I K_E
CHOCOLATE	CH_B AO_I K_I AX_I L_I IH_I T_E
CHOCTAW	CH_B AA_I K_I T_I AO_E
CHOI-CE-	CH_B OY_E #1
CHOI-CES-	CH_B OY_E #2
CHOICE	CH_B OY_I S_E #3
CHOICES	CH_B OY_I S_I IH_I Z_E
CHOIR	K_B W_I AY_I R_E
CHOIRS	K_B W_I AY_I R_I Z_E #2
CHOKE	CH_B OW_I K_E
CHOKED	CH_B OW_I K_I T_E
CHOKES	CH_B OW_I K_I S_E
CHOKING	CH_B OW_I K_I IH_I NG_E
CHOLERA	K_B AA_I L_I AX_I R_I AX_E
CHOLEST-EROL-	K_B AX_I L_I EH_I S_I T_E
CHOLESTEROL	K_B AX_I L_I EH_I S_I T_I AX_I R_I AO_I L_E #2
CHOMPING	CH_B AA_I M_I P_I IH_I NG_E
CHOO-SE-	CH_B UW_E #2
CHOO-SING-	CH_B UW_E #3
CHOOSE	CH_B UW_I Z_E #2
CHOOSES	CH_B UW_I Z_I IH_I Z_E
CHOOSING	CH_B UW_I Z_I IH_I NG_E
CHOP	CH_B AA_I P_E
CHOPIN	SH_B OW_I P_I AE_I N_E
CHOPPED	CH_B AA_I P_I T_E
CHOPPING	CH_B AA_I P_I IH_I NG_E
CHOPS	CH_B AA_I P_I S_E
CHOPSTICKS	CH_B AA_I P_I S_I T_I IH_I K_I S_E
CHORAL	K_B OW_I R_I AX_I L_E #1
CHORALS	K_B OW_I R_I AX_I L_I Z_E
CHORD	K_B OW_I R_I D_E #1
CHORDING	K_B OW_I R_I D_I IH_I NG_E #1
CHORDS	K_B OW_I R_I D_I Z_E #1
CHORE	CH_B OW_I R_E
CHORED	CH_B OW_I R_I D_E
CHOREOGRAPHED	K_B OW_I R_I IY_I AX_I G_I R_I AE_I F_I T_E
CHORES	CH_B OW_I R_I Z_E
CHORUS	K_B OW_I R_I IH_I S_E
CHORUSES	K_B OW_I R_I IH_I S_I IH_I Z_E
CHOSE	CH_B OW_I Z_E
CHOSEN	CH_B OW_I Z_I IH_I N_E #2
CHOU	CH_B OW_E #2
CHOW	CH_B AW_E
CHOWPERD	CH_B AW_I P_I ER_I D_E #1
CHOWPHERD	CH_B AW_I P_I ER_I D_E #2
CHOWS	CH_B AW_I Z_E
CHR-ISTIAN-	K_B R_I IH_E #1
CHR-YSLER-	K_B R_E #2
CHRI-STIAN-	K_B R_I IH_E #2
CHRIS	K_B R_I IH_I S_E #1
CHRISOSTIMO	K_B R_I IH_I S_I OW_I S_I T_I IH_I M_I OW_E
CHRIST	K_B R_I AY_I S_I T_E #2
CHRIST-MAS-	K_B R_I IH_I S_E #2
CHRISTENING	K_B R_I IH_I S_I IH_I N_I IH_I NG_E
CHRISTI	K_B R_I IH_I S_I T_I IY_E #1
CHRISTIAN	K_B R_I IH_I S_I CH_I IH_I N_E
CHRISTIANITY	K_B R_I IH_I S_I CH_I IY_I AE_I N_I IH_I T_I IY_E
CHRISTIANS	K_B R_I IH_I S_I CH_I IH_I N_I Z_E
CHRISTIE	K_B R_I IH_I S_I T_I IY_E #2
CHRISTINE	K_B R_I IH_I S_I T_I IY_I N_E
CHRISTMAS	K_B R_I IH_I S_I M_I AX_I S_E #2
CHRISTMASES	K_B R_I IH_I S_I M_I AX_I S_I IH_I Z_E
CHRISTOPHER	K_B R_I IH_I S_I T_I AX_I F_I ER_E
CHRISWELL	K_B R_I IH_I S_I W_I EH_I L_E
CHROMATO-GRAPHY-	K_B R_I OW_I M_I AE_I T_I AA_E
CHROMATOGRAPHY	K_B R_I OW_I M_I AE_I T_I AA_I G_I R_I AX_I F_I IY_E
CHROME	K_B R_I OW_I M_E
CHRONIC	K_B R_I AA_I N_I IH_I K_E
CHRONICLE	K_B R_I AA_I N_I IH_I K_I AX_I L_E
CHRONICLES	K_B R_I AA_I N_I IH_I K_I AX_I L_I Z_E
CHRY-SLER-	K_B R_I AY_E #1
CHRYS-LER-	K_B R_I AY_I S_E
CHRYSLER	K_B R_I AY_I S_I L_I ER_E
CHRYSLER'S	K_B R_I AY_I S_I L_I ER_I Z_E #1
CHRYSLERS	K_B R_I AY_I S_I L_I ER_I Z_E #2
CHUBBY	CH_B AH_I B_I IY_E
CHUCK	CH_B AH_I K_E
CHUCKIE	CH_B AH_I K_I IY_E #1
CHUCKLE	CH_B AH_I K_I AX_I L_E
CHUCKLED	CH_B AH_I K_I AX_I L_I D_E
CHUCKY	CH_B AH_I K_I IY_E #2
CHUNG	CH_B AH_I NG_E
CHUNK	CH_B AH_I NG_I K_E
CHUNKS	CH_B AH_I NG_I K_I S_E
CHURCH	CH_B ER_I CH_E
CHURCHES	CH_B ER_I CH_I IH_I Z_E
CHURCHILL	CH_B ER_I CH_I IH_I L_E
CHURCHILL'S	CH_B ER_I CH_I IH_I L_I Z_E
CHURN	CH_B ER_I N_E
CHURNING	CH_B ER_I N_I IH_I NG_E
CHUTE	SH_B UW_I T_E #2
CHUTES	SH_B UW_I T_I S_E #1
CI-RCUMSTANCES-	S_S #18
CI-TIZENS-	S_B IH_E #1
CI-TY-	S_B IH_E #2
CIA	S_B IY_I AY_I EY_E
CIDER	S_B AY_I D_I ER_E
CIGAR	S_B IH_I G_I AA_I R_E
CIGARE-TTE-	S_B IH_I G_I AX_I R_I EH_E
CIGARETTE	S_B IH_I G_I AX_I R_I EH_I T_E
CIGARETTES	S_B IH_I G_I AX_I R_I EH_I T_I S_E
CIGARS	S_B IH_I G_I AA_I R_I Z_E
CIGNA	S_B IH_I G_I N_I AX_E
CIMARRON	S_B IH_I M_I AX_I R_I AA_I N_E
CIN-CINNATI-	S_B IH_I N_E #1
CIN-DRELLA-	S_B IH_I N_E #2
CINCH	S_B IH_I N_I CH_E
CINCINNATI	S_B IH_I N_I S_I IH_I N_I AE_I T_I IY_E
CINDER	S_B IH_I N_I D_I ER_E
CINDERELLA	S_B IH_I N_I D_I AX_I R_I EH_I L_I AX_E
CINDERS	S_B IH_I N_I D_I ER_I Z_E
CINDY	S_B IH_I N_I D_I IY_E
CINEMA	S_B IH_I N_I AX_I M_I AX_E #1
CINEMA-TOGRAPHY-	S_B IH_I N_I AX_I M_I AX_E #2
CINEMATOGRAPHY	S_B IH_I N_I AX_I M_I AX_I T_I AA_I G_I R_I AX_I F_I IY_E
CINEMAX	S_B IH_I N_I AX_I M_I AE_I K_I S_E
CINNAMON	S_B IH_I N_I AX_I M_I AX_I N_E
CIPHER	S_B AY_I F_I ER_E
CIR-CUMSTANCES-	S_B ER_E #3
CIRCLE	S_B ER_I K_I AX_I L_E
CIRCLES	S_B ER_I K_I AX_I L_I Z_E
CIRCLING	S_B ER_I K_I AX_I L_I IH_I NG_E
CIRCUIT	S_B ER_I K_I IH_I T_E
CIRCUITRY	S_B ER_I K_I IH_I T_I R_I IY_E
CIRCUITS	S_B ER_I K_I IH_I T_I S_E
CIRCULAR	S_B ER_I K_I Y_I AX_I L_I ER_E
CIRCULARLY	S_B ER_I K_I Y_I AX_I L_I ER_I L_I IY_E
CIRCULATE	S_B ER_I K_I Y_I AX_I L_I EY_I T_E
CIRCULATED	S_B ER_I K_I Y_I AX_I L_I EY_I T_I IH_I D_E
CIRCULATES	S_B ER_I K_I Y_I AX_I L_I EY_I T_I S_E
CIRCULATING	S_B ER_I K_I Y_I AX_I L_I EY_I T_I IH_I NG_E
CIRCULATION	S_B ER_I K_I Y_I AX_I L_I EY_I SH_I IH_I N_E
CIRCULATOR-Y-	S_B ER_I K_I Y_I AX_I L_I AX_I T_I OW_I R_E
CIRCUM-STANCE-	S_B ER_I K_I AX_I M_E #1
CIRCUM-STANCES-	S_B ER_I K_I AX_I M_E #2
CIRCUMFERENCE	S_B ER_I K_I AA_I M_I F_I R_I IH_I N_I S_E
CIRCUMSPECT	S_B ER_I K_I AX_I M_I S_I P_I EH_I K_I T_E
CIRCUMSTANCE	S_B ER_I K_I AX_I M_I S_I T_I AE_I N_I S_E
CIRCUMSTANCES	S_B ER_I K_I AX_I M_I S_I T_I AE_I N_I S_I IH_I Z_E
CIRCUMSTANTIAL	S_B ER_I K_I AX_I M_I S_I T_I AE_I N_I SH_I AX_I L_E
CIRCUMVENT	S_B ER_I K_I AX_I M_I V_I EH_I N_I T_E
CIRCUMVENTING	S_B ER_I K_I AX_I M_I V_I EH_I N_I T_I IH_I NG_E
CIRCUMVENTION	S_B ER_I K_I AX_I M_I V_I EH_I N_I SH_I IH_I N_E
CIRCUS	S_B ER_I K_I AX_I S_E
CIRCUSES	S_B ER_I K_I AX_I S_I IH_I Z_E
CISSY	S_B IH_I S_I IY_E #1
CISTERCIAN	S_B IH_I S_I T_I ER_I SH_I IH_I N_E
CITATION	S_B AY_I T_I EY_I SH_I IH_I N_E
CITE	S_B AY_I T_E #2
CITED	S_B AY_I T_I IH_I D_E #1
CITGO	S_B IH_I T_I G_I OW_E
CITIBANK	S_B IH_I T_I IY_I B_I AE_I NG_I K_E
CITIES	S_B IH_I T_I IY_I Z_E #1
CITING	S_B AY_I T_I IH_I NG_E
CITIZEN	S_B IH_I T_I IH_I Z_I IH_I N_E
CITIZEN'S	S_B IH_I T_I IH_I Z_I IH_I N_I Z_E #1
CITIZENRY	S_B IH_I T_I IH_I Z_I IH_I N_I R_I IY_E
CITIZENS	S_B IH_I T_I IH_I Z_I IH_I N_I Z_E #2
CITIZENSHIP	S_B IH_I T_I IH_I Z_I IH_I N_I SH_I IH_I P_E
CITRINE	S_B IH_I T_I R_I IY_I N_E
CITRON	S_B IH_I T_I R_I AX_I N_E
CITRONELLA	S_B IY_I T_I R_I OW_I N_I EH_I L_I AX_E
CITY	S_B IH_I T_I IY_E #2
CITY'S	S_B IH_I T_I IY_I Z_E #2
CITYWIDE	S_B IH_I T_I IY_I W_I AY_I D_E
CIVI-C-	S_B IH_I V_I IH_E
CIVIC	S_B IH_I V_I IH_I K_E
CIVICS	S_B IH_I V_I IH_I K_I S_E
CIVIL	S_B IH_I V_I AX_I L_E
CIVIL'S	S_B IH_I V_I AX_I L_I Z_E
CIVILIAN	S_B IH_I V_I IH_I L_I Y_I IH_I N_E
CIVILIANIZED	S_B IH_I V_I IH_I L_I IY_I AX_I N_I AY_I Z_I D_E
CIVILIANS	S_B IH_I V_I IH_I L_I IY_I IH_I N_I Z_E
CIVILIZATION	S_B IH_I V_I IH_I L_I AY_I Z_I EY_I SH_I IH_I N_E
CIVILIZED	S_B IH_I V_I IH_I L_I AY_I Z_I D_E
CL-AIM-	K_B L_E #3
CL-ASS-	K_B L_E #4
CL-ASSES-	K_B L_E #5
CL-EAN-	K_B L_E #6
CL-OSE-	K_B L_E #7
CL-OSELY-	K_B L_E #8
CL-OTH-	K_B L_E #9
CL-OUDY-	K_B L_E #10
CLA-SS-	K_B L_I AE_E
CLAD	K_B L_I AE_I D_E
CLAIM	K_B L_I EY_I M_E
CLAIMED	K_B L_I EY_I M_I D_E
CLAIMING	K_B L_I EY_I M_I IH_I NG_E
CLAIMS	K_B L_I EY_I M_I Z_E
CLAIR	K_B L_I EY_I R_E
CLAIRON	K_B L_I EY_I R_I AA_I N_E
CLAM	K_B L_I AE_I M_E
CLAMORING	K_B L_I AE_I M_I AX_I R_I IH_I NG_E
CLAMP	K_B L_I AE_I M_I P_E
CLAMPED	K_B L_I AE_I M_I P_I T_E
CLAMPING	K_B L_I AE_I M_I P_I IH_I NG_E
CLAMPITT	K_B L_I AE_I M_I P_I IH_I T_E
CLAMPS	K_B L_I AE_I M_I P_I S_E
CLAMS	K_B L_I AE_I M_I Z_E
CLAN	K_B L_I AE_I N_E #1
CLANCY	K_B L_I AE_I N_I S_I IY_E
CLANCY'S	K_B L_I AE_I N_I S_I IY_I Z_E
CLANG	K_B L_I AE_I NG_E
CLANKING	K_B L_I AE_I NG_I K_I IH_I NG_E
CLAP	K_B L_I AE_I P_E
CLAPBOARDS	K_B L_I AE_I P_I B_I OW_I R_I D_I Z_E
CLAPPED	K_B L_I AE_I P_I T_E
CLAPTON	K_B L_I AE_I P_I T_I AX_I N_E
CLARA	K_B L_I AE_I R_I AX_E
CLARA'S	K_B L_I AE_I R_I AX_I Z_E
CLARENCE	K_B L_I AE_I R_I IH_I N_I S_E
CLARENDON	K_B L_I AE_I R_I IH_I N_I D_I IH_I N_E
CLARICE	K_B L_I AE_I R_I IH_I S_E
CLARIFIED	K_B L_I AE_I R_I IH_I F_I AY_I D_E
CLARIFY	K_B L_I AE_I R_I IH_I F_I AY_E
CLARINET	K_B L_I AE_I R_I IH_I N_I EH_I T_E
CLARINET'S	K_B L_I AE_I R_I IH_I N_I EH_I T_I S_E
CLARION	K_B L_I AE_I R_I IY_I IH_I N_E
CLARISSE	K_B L_I AE_I R_I IY_I S_E
CLARITIN	K_B L_I AE_I R_I IH_I T_I IY_I N_E
CLARITY	K_B L_I AE_I R_I IH_I T_I IY_E
CLARK	K_B L_I AA_I R_I K_E
CLARK'S	K_B L_I AA_I R_I K_I S_E #1
CLARKS	K_B L_I AA_I R_I K_I S_E #2
CLASH	K_B L_I AE_I SH_E
CLASHING	K_B L_I AE_I SH_I IH_I NG_E
CLASS	K_B L_I AE_I S_E #2
CLASS-IC-	K_B L_I AE_I S_E #3
CLASSED	K_B L_I AE_I S_I T_E
CLASSEN	K_B L_I AE_I S_I IH_I N_E
CLASSES	K_B L_I AE_I S_I IH_I Z_E
CLASSIC	K_B L_I AE_I S_I IH_I K_E
CLASSICAL	K_B L_I AE_I S_I IH_I K_I AX_I L_E #2
CLASSICALLY	K_B L_I AE_I S_I IH_I K_I L_I IY_E
CLASSICS	K_B L_I AE_I S_I IH_I K_I S_E
CLASSIER	K_B L_I AE_I S_I IY_I ER_E
CLASSIFICATION	K_B L_I AE_I S_I IH_I F_I AX_I K_I EY_I SH_I IH_I N_E
CLASSIFIED	K_B L_I AE_I S_I IH_I F_I AY_I D_E
CLASSIFY	K_B L_I AE_I S_I IH_I F_I AY_E
CLASSIFYING	K_B L_I AE_I S_I IH_I F_I AY_I IH_I NG_E
CLASSING	K_B L_I AE_I S_I IH_I NG_E
CLASSMATES	K_B L_I AE_I S_I M_I EY_I T_I S_E
CLASSROOM	K_B L_I AE_I S_I R_I UW_I M_E
CLASSROOMS	K_B L_I AE_I S_I R_I UW_I M_I Z_E
CLASSY	K_B L_I AE_I S_I IY_E
CLAUDE	K_B L_I AO_I D_E
CLAUS	K_B L_I AO_I Z_E #1
CLAUSE	K_B L_I AO_I Z_E #2
CLAUSES	K_B L_I AO_I Z_I IH_I Z_E
CLAUSTROPHOBIA	K_B L_I AO_I S_I T_I R_I AX_I F_I OW_I B_I IY_I AX_E
